"","Panjang helaian daun (V22)","Lebar helaian daun (V23)","Panjang tangkai daun (V24)","Tinggi batang semu (V25)","Keliling batang semu (V26)","Jumlah sisir pertandan (V27)","Jumlah buah persisir (V28)","Panjang buah (K1)","Lebar buah (K2)","Panjang tangkai buah (K3)","Lebar tangkai buah (K4)","Diameter buah tanpa kulit (K5)","Diameter buah dengan kulit (K6)","Ketebalan kulit (K7)"
"Panjang helaian daun (V22)",1,0.875,0.30012252399939,0.577350269189626,0.873591726832981,0.388075262853166,0.721687836487032,0.545380521680732,0.797038328470985,0.58109254914009,-0.0933960040341635,-0.105008146099582,-0.367761412363576,-0.190887737154814
"Lebar helaian daun (V23)",0.875,1,0.0857492925712544,0.433012701892219,0.909616127939496,0.368671499710508,0.577350269189626,0.254846126389153,0.688781849221955,0.674152602853234,-0.182414070379225,-0.45076667593967,-0.738246983337253,-0.416633235007464
"Panjang tangkai daun (V24)",0.30012252399939,0.0857492925712544,1,0.445566394339503,0.271220074714397,-0.312805484988189,0.198029508595335,0.816317407635735,0.346252785892342,0.210765075213785,0.0957209293556522,0.630745434725982,0.357867040059399,0.352420672450129
"Tinggi batang semu (V25)",0.577350269189626,0.433012701892219,0.445566394339503,1,0.436772651201067,0.403299643453399,0.833333333333333,0.557387149174003,0.410168767548414,0.238701067100254,-0.008326223304982,0.0621051760864216,-0.217045531546238,0.603754125667288
"Keliling batang semu (V26)",0.873591726832981,0.909616127939496,0.271220074714397,0.436772651201067,1,0.349504473213465,0.484609655856422,0.489650944252932,0.875619396395732,0.62412572296478,0.065984470943031,-0.230994078449402,-0.553095524277087,-0.271046320533427
"Jumlah sisir pertandan (V27)",0.388075262853166,0.368671499710508,-0.312805484988189,0.403299643453399,0.349504473213465,1,0.515327322190454,0.189003659764553,0.480088263392537,0.0779627893060816,0.157477799351321,-0.572900322721159,-0.504485612968605,0.206132337451967
"Jumlah buah persisir (V28)",0.721687836487032,0.577350269189626,0.198029508595335,0.833333333333333,0.484609655856422,0.515327322190454,1,0.360828876040488,0.348448133955414,0.518416063255535,-0.418293599369334,-0.0828069014485622,-0.308267566543932,0.291335324131517
"Panjang buah (K1)",0.545380521680732,0.254846126389153,0.816317407635735,0.557387149174003,0.489650944252932,0.189003659764553,0.360828876040488,1,0.709151547830618,0.224980728654716,0.354865808769316,0.359715403247746,0.21173356445093,0.369856444486461
"Lebar buah (K2)",0.797038328470985,0.688781849221955,0.346252785892342,0.410168767548414,0.875619396395732,0.480088263392537,0.348448133955414,0.709151547830618,1,0.298743041122481,0.438577682536982,-0.1030311953539,-0.302206788591543,-0.073674626835128
"Panjang tangkai buah (K3)",0.58109254914009,0.674152602853234,0.210765075213785,0.238701067100254,0.62412572296478,0.0779627893060816,0.518416063255535,0.224980728654716,0.298743041122481,1,-0.594450200057173,-0.254237403736205,-0.435728165158368,-0.375632737475842
"Lebar tangkai buah (K4)",-0.0933960040341635,-0.182414070379225,0.0957209293556522,-0.008326223304982,0.065984470943031,0.157477799351321,-0.418293599369334,0.354865808769316,0.438577682536982,-0.594450200057173,1,0.0736306897764533,0.164422497818105,0.260040237663121
"Diameter buah tanpa kulit (K5)",-0.105008146099582,-0.45076667593967,0.630745434725982,0.0621051760864216,-0.230994078449402,-0.572900322721159,-0.0828069014485622,0.359715403247746,-0.1030311953539,-0.254237403736205,0.0736306897764533,1,0.857171841502473,0.408904752239689
"Diameter buah dengan kulit (K6)",-0.367761412363576,-0.738246983337253,0.357867040059399,-0.217045531546238,-0.553095524277087,-0.504485612968605,-0.308267566543932,0.21173356445093,-0.302206788591543,-0.435728165158368,0.164422497818105,0.857171841502473,1,0.351435291311313
"Ketebalan kulit (K7)",-0.190887737154814,-0.416633235007464,0.352420672450129,0.603754125667288,-0.271046320533427,0.206132337451967,0.291335324131517,0.369856444486461,-0.073674626835128,-0.375632737475842,0.260040237663121,0.408904752239689,0.351435291311313,1
