"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"Fruit.Weight..KN1.",-0.0937357017496983,0.279725669867382,-0.0339197336808073,-0.347525622253525,0.0831674685776195,0.0436778092224628,0.0160032065517041
"Fruit.Length..KN2.",-0.150739752761549,0.216304793729518,-0.135992703449792,-0.279051794306452,0.21242530985791,0.15715429053982,-0.074566853375174
"Fruit.Width..KN3.",-0.240716725588886,-0.166450938135833,0.187574843761529,-0.182943346186353,0.0592742140679598,0.0504257413195212,-0.297277225599834
"Fruit.Stalk.Length..KN4.",-0.266715945843859,0.16397208336482,-0.0278558114575663,0.0679938942143361,-0.258813522220463,0.00631947317299181,-0.0695117384318128
"Fruit.Stalk.Width..KN5.",-0.286581593526547,0.00612072638677952,-0.0724821663838308,-0.239753760976913,-0.132940688439226,-0.146938962783703,0.0586625281952557
"Diameter.of.Flesh.With.Skin..KN6.",-0.215836602677143,-0.178266601651774,0.221219434398887,-0.157372166652985,0.0955788803534856,0.100440462641651,-0.112592995364748
"Diameter.of.Flesh.Without.Skin..KN7.",-0.215953712736638,-0.186704761908188,0.209455315249238,-0.177549955835568,0.063824337872175,0.0915327019582791,0.196995676024261
"Fruit.Tip..KT1.",-0.0834406682634312,0.067207106869226,-0.000334415676106792,0.371652252875006,0.308917002857586,0.413271423686505,0.135438834324982
"Relic.Waste.at.Fruit.Tip..KT2.",-0.152202807823586,0.0235966626960887,0.298339760148284,0.187633840084555,0.195098407069823,-0.287349363978185,-0.139766935903573
"Fruit.Stalk.Length..KT3.",-0.159929540118308,0.308307973670952,-0.0698251563029699,0.0714706110391858,-0.166423079215131,-0.0309097221004222,-0.12388236353007
"Fruit.Stalk.Width..KT4.",-0.217827414415259,0.124899958960135,-0.243665555822836,-0.0674051853558471,-0.168313369615951,0.2218291743464,-0.317169152619444
"Fruit.Stalk.Surface..KT5.",0.100155523719693,-0.133882234717832,-0.319614598281229,0.177605054676039,0.209674109439676,-0.185152984525316,-0.181691640057292
"Skin.Color.When.Young..KT6.",-0.0934621735328388,-0.212566062221895,-0.270621160498858,0.000859865616784473,0.119647703487759,-0.345358580343808,0.16856763498151
"Skin.Color.When.Ripe..KT7.",0.0264155573605213,0.346731043433599,0.0595951159445606,0.150838118517972,0.168324455597044,-0.0193083743212499,-0.0815395353755222
"Skin.Thickness..KT8.",-0.157732766490147,0.0784752735180694,0.365455555867756,0.0570295215272947,0.0478858401660822,-0.12697301713396,-0.325474954114321
"Fruit.Skin.Adhesion..KT9.",-0.0943060545579718,0.326621242648973,0.00670959475092327,0.0269567273653741,0.265499191188909,0.0278830067039724,-0.0471457826402261
"Cracks.on.Fruit.Skin..KT10.",0.201647457111412,0.254097850902405,-0.0160668991886124,-0.191320342484796,-0.0494230287479274,-0.217217357245649,-0.102511351748172
"Pulp.in.Fruit..KT11.",0.175340548254387,-0.0887673556618662,-0.135622918400661,-0.186440974166773,0.334328730268936,-0.355643170315536,-0.136907705531616
"Pulp.Color.Before.Ripe..KT12.",0.0954094803356313,0.107838399447479,0.288701507849359,0.233744740521274,-0.212946864089143,-0.290287246435577,0.0303551837643919
"Fruit.Flesh.Color..KT13.",0.157484654935964,0.175791161522098,0.249364987613935,0.282185247137005,0.0465821861877996,0.0533022858345567,0.043533025136719
"Flesh.Texture..KT14.",0.284131114905374,-0.0811580324712747,0.169976875266049,-0.151754827459789,-0.070977869658327,0.0741646198107608,-0.220917696553362
"Dominant.Taste..KT14.",0.32571651363087,0.0303471863067095,-0.0183609019215895,-0.114352718827628,-0.049041002470711,0.0686319398379055,-0.105504685405681
"Seed.Surface..KT15.",-0.284131114905374,0.0811580324712747,-0.169976875266049,0.151754827459789,0.070977869658327,-0.0741646198107608,0.220917696553362
"Seed.Shape..KT16.",0.0658293431073171,0.305073069764665,0.0630224641864496,-0.180395049405703,-0.265042809868388,-0.124340649323126,0.480393244101707
"Fruit.Position..KT17.",-0.00637545161661865,0.271165081132538,-0.0587047724899937,-0.0636641610469755,0.415689698956834,-0.144056326511793,0.0838220657085421
"Number.of.Fruits.in.1.Bunch..KT18.",0.158592482924842,0.159299322197595,-0.295676752133704,0.119431547988571,-0.201747333553781,0.0464478401969015,-0.350250831949821
"Fruit.Shape..KT20.",-0.169842974255287,-0.142155522860858,-0.251765149112158,0.289856836668108,-0.109893683370489,-0.00776105425474138,-0.0159466849582816
"Cross.Sectional.Shape..KT21.",0.27646364610139,-0.0233182590855344,3.81086344890298e-05,-0.092699057633691,0.166208281759939,0.376146965631552,0.120230296154755
